region, carrier, scenario, substance, time, value
DE, wtr, high_env_pol, car,2020,4.55E+09
DE, wtr, low_env_pol, car,2020,4.55E+09
DE, sldg, high_env_pol, car,2020,4.60E+07
DE, sldg, low_env_pol, car,2020,4.60E+07
DE, wtr, high_env_pol, cec,2020,8.31E+05
DE, wtr, low_env_pol, cec,2020,8.31E+05
DE, sldg, high_env_pol, cec,2020,0.00E+00
DE, sldg, low_env_pol, cec,2020,0.00E+00
DE, wtr, high_env_pol, car,2035,4.51E+09
DE, wtr, low_env_pol, car,2035,4.51E+09
DE, sldg, high_env_pol, car,2035,4.56E+07
DE, sldg, low_env_pol, car,2035,4.56E+07
DE, wtr, high_env_pol, cec,2035,8.24E+05
DE, wtr, low_env_pol, cec,2035,8.24E+05
DE, sldg, high_env_pol, cec,2035,0.00E+00
DE, sldg, low_env_pol, cec,2035,0.00E+00
DE, wtr, high_env_pol, car,2045,4.43E+09
DE, wtr, low_env_pol, car,2045,4.43E+09
DE, sldg, high_env_pol, car,2045,4.48E+07
DE, sldg, low_env_pol, car,2045,4.48E+07
DE, wtr, high_env_pol, cec,2045,8.09E+05
DE, wtr, low_env_pol, cec,2045,8.09E+05
DE, sldg, high_env_pol, cec,2045,0.00E+00
DE, sldg, low_env_pol, cec,2045,0.00E+00
