time,carrier,scenario,substance,region,technology,value
2020,sldg,high_env_pol,car,DE,nof,45988305.0
2020,sldg,high_env_pol,car,DE,aop,0.0
2020,sldg,high_env_pol,car,DE,o3,0.0
2020,sldg,high_env_pol,car,DE,gac,0.0
2020,sldg,high_env_pol,cec,DE,nof,0.0
2020,sldg,high_env_pol,cec,DE,aop,0.0
2020,sldg,high_env_pol,cec,DE,o3,0.0
2020,sldg,high_env_pol,cec,DE,gac,0.0
2020,sldg,low_env_pol,car,DE,nof,45988305.0
2020,sldg,low_env_pol,car,DE,aop,0.0
2020,sldg,low_env_pol,car,DE,o3,0.0
2020,sldg,low_env_pol,car,DE,gac,0.0
2020,sldg,low_env_pol,cec,DE,nof,0.0
2020,sldg,low_env_pol,cec,DE,aop,0.0
2020,sldg,low_env_pol,cec,DE,o3,0.0
2020,sldg,low_env_pol,cec,DE,gac,0.0
2020,wtr,high_env_pol,car,DE,nof,4108190459.19885
2020,wtr,high_env_pol,car,DE,aop,1024202.6075565
2020,wtr,high_env_pol,car,DE,o3,113800.2897285
2020,wtr,high_env_pol,car,DE,gac,4096810.430226
2020,wtr,high_env_pol,cec,DE,nof,749.6255249999999
2020,wtr,high_env_pol,cec,DE,aop,0.18688724999999998
2020,wtr,high_env_pol,cec,DE,o3,0.020765250000000002
2020,wtr,high_env_pol,cec,DE,gac,0.7475489999999999
2020,wtr,low_env_pol,car,DE,nof,4108190459.19885
2020,wtr,low_env_pol,car,DE,aop,1024202.6075565
2020,wtr,low_env_pol,car,DE,o3,113800.2897285
2020,wtr,low_env_pol,car,DE,gac,4096810.430226
2020,wtr,low_env_pol,cec,DE,nof,749.6255249999999
2020,wtr,low_env_pol,cec,DE,aop,0.18688724999999998
2020,wtr,low_env_pol,cec,DE,o3,0.020765250000000002
2020,wtr,low_env_pol,cec,DE,gac,0.7475489999999999
2020,oxi_con,high_env_pol,car,DE,nof,0.0
2020,oxi_con,high_env_pol,car,DE,aop,0.0
2020,oxi_con,high_env_pol,car,DE,o3,0.0
2020,oxi_con,high_env_pol,car,DE,gac,0.0
2020,oxi_con,high_env_pol,cec,DE,nof,0.0
2020,oxi_con,high_env_pol,cec,DE,aop,0.0
2020,oxi_con,high_env_pol,cec,DE,o3,0.0
2020,oxi_con,high_env_pol,cec,DE,gac,0.0
2020,oxi_con,low_env_pol,car,DE,nof,0.0
2020,oxi_con,low_env_pol,car,DE,aop,0.0
2020,oxi_con,low_env_pol,car,DE,o3,0.0
2020,oxi_con,low_env_pol,car,DE,gac,0.0
2020,oxi_con,low_env_pol,cec,DE,nof,0.0
2020,oxi_con,low_env_pol,cec,DE,aop,0.0
2020,oxi_con,low_env_pol,cec,DE,o3,0.0
2020,oxi_con,low_env_pol,cec,DE,gac,0.0
2035,sldg,high_env_pol,car,DE,nof,45601815.94
2035,sldg,high_env_pol,car,DE,aop,0.0
2035,sldg,high_env_pol,car,DE,o3,0.0
2035,sldg,high_env_pol,car,DE,gac,0.0
2035,sldg,high_env_pol,cec,DE,nof,0.0
2035,sldg,high_env_pol,cec,DE,aop,0.0
2035,sldg,high_env_pol,cec,DE,o3,0.0
2035,sldg,high_env_pol,cec,DE,gac,0.0
2035,sldg,low_env_pol,car,DE,nof,45601815.94
2035,sldg,low_env_pol,car,DE,aop,0.0
2035,sldg,low_env_pol,car,DE,o3,0.0
2035,sldg,low_env_pol,car,DE,gac,0.0
2035,sldg,low_env_pol,cec,DE,nof,0.0
2035,sldg,low_env_pol,cec,DE,aop,0.0
2035,sldg,low_env_pol,cec,DE,o3,0.0
2035,sldg,low_env_pol,cec,DE,gac,0.0
2035,wtr,high_env_pol,car,DE,nof,2211740514.8033996
2035,wtr,high_env_pol,car,DE,aop,101559513.43484999
2035,wtr,high_env_pol,car,DE,o3,36561424.836546
2035,wtr,high_env_pol,car,DE,gac,16249522.149575997
2035,wtr,high_env_pol,cec,DE,nof,403.5786999999999
2035,wtr,high_env_pol,cec,DE,aop,18.531675
2035,wtr,high_env_pol,cec,DE,o3,6.671403
2035,wtr,high_env_pol,cec,DE,gac,2.965068
2035,wtr,low_env_pol,car,DE,nof,4073664927.7756495
2035,wtr,low_env_pol,car,DE,aop,1015595.1343484998
2035,wtr,low_env_pol,car,DE,o3,112843.9038165
2035,wtr,low_env_pol,car,DE,gac,4062380.5373939993
2035,wtr,low_env_pol,cec,DE,nof,743.326075
2035,wtr,low_env_pol,cec,DE,aop,0.18531675
2035,wtr,low_env_pol,cec,DE,o3,0.02059075
2035,wtr,low_env_pol,cec,DE,gac,0.741267
2035,oxi_con,high_env_pol,car,DE,nof,0.0
2035,oxi_con,high_env_pol,car,DE,aop,0.0
2035,oxi_con,high_env_pol,car,DE,o3,0.0
2035,oxi_con,high_env_pol,car,DE,gac,0.0
2035,oxi_con,high_env_pol,cec,DE,nof,0.0
2035,oxi_con,high_env_pol,cec,DE,aop,0.0
2035,oxi_con,high_env_pol,cec,DE,o3,0.0
2035,oxi_con,high_env_pol,cec,DE,gac,0.0
2035,oxi_con,low_env_pol,car,DE,nof,0.0
2035,oxi_con,low_env_pol,car,DE,aop,0.0
2035,oxi_con,low_env_pol,car,DE,o3,0.0
2035,oxi_con,low_env_pol,car,DE,gac,0.0
2035,oxi_con,low_env_pol,cec,DE,nof,0.0
2035,oxi_con,low_env_pol,cec,DE,aop,0.0
2035,oxi_con,low_env_pol,cec,DE,o3,0.0
2035,oxi_con,low_env_pol,cec,DE,gac,0.0
2045,sldg,high_env_pol,car,DE,nof,44791366.26
2045,sldg,high_env_pol,car,DE,aop,0.0
2045,sldg,high_env_pol,car,DE,o3,0.0
2045,sldg,high_env_pol,car,DE,gac,0.0
2045,sldg,high_env_pol,cec,DE,nof,0.0
2045,sldg,high_env_pol,cec,DE,aop,0.0
2045,sldg,high_env_pol,cec,DE,o3,0.0
2045,sldg,high_env_pol,cec,DE,gac,0.0
2045,sldg,low_env_pol,car,DE,nof,44791366.26
2045,sldg,low_env_pol,car,DE,aop,0.0
2045,sldg,low_env_pol,car,DE,o3,0.0
2045,sldg,low_env_pol,car,DE,gac,0.0
2045,sldg,low_env_pol,cec,DE,nof,0.0
2045,sldg,low_env_pol,cec,DE,aop,0.0
2045,sldg,low_env_pol,cec,DE,o3,0.0
2045,sldg,low_env_pol,cec,DE,gac,0.0
2045,wtr,high_env_pol,car,DE,nof,1108384068.01
2045,wtr,high_env_pol,car,DE,aop,543108193.3248999
