time,carrier,scenario,substance,region,value
2020,sldg,high_env_pol,car,DE,0.0
2020,sldg,high_env_pol,cec,DE,0.0
2020,sldg,low_env_pol,car,DE,0.0
2020,sldg,low_env_pol,cec,DE,0.0
2020,wtr,high_env_pol,car,DE,0.0
2020,wtr,high_env_pol,cec,DE,0.0
2020,wtr,low_env_pol,car,DE,0.0
2020,wtr,low_env_pol,cec,DE,0.0
2020,oxi_con,high_env_pol,car,DE,0.0
2020,oxi_con,high_env_pol,cec,DE,0.0
2020,oxi_con,low_env_pol,car,DE,0.0
2020,oxi_con,low_env_pol,cec,DE,0.0
2035,sldg,high_env_pol,car,DE,0.0
2035,sldg,high_env_pol,cec,DE,0.0
2035,sldg,low_env_pol,car,DE,0.0
2035,sldg,low_env_pol,cec,DE,0.0
2035,wtr,high_env_pol,car,DE,144953139.56489998
2035,wtr,high_env_pol,cec,DE,19.7393153544
2035,wtr,low_env_pol,car,DE,0.0
2035,wtr,low_env_pol,cec,DE,0.0
2035,oxi_con,high_env_pol,car,DE,0.0
2035,oxi_con,high_env_pol,cec,DE,0.0
2035,oxi_con,low_env_pol,car,DE,0.0
2035,oxi_con,low_env_pol,cec,DE,0.0
2045,sldg,high_env_pol,car,DE,0.0
2045,sldg,high_env_pol,cec,DE,0.0
2045,sldg,low_env_pol,car,DE,0.0
2045,sldg,low_env_pol,cec,DE,0.0
2045,wtr,high_env_pol,car,DE,284753974.4112
2045,wtr,high_env_pol,cec,DE,13.2407724
2045,wtr,low_env_pol,car,DE,0.0
2045,wtr,low_env_pol,cec,DE,0.0
2045,oxi_con,high_env_pol,car,DE,0.0
2045,oxi_con,high_env_pol,cec,DE,0.0
2045,oxi_con,low_env_pol,car,DE,0.0
2045,oxi_con,low_env_pol,cec,DE,0.0
