time,carrier,scenario,substance,region,value
2020,sldg,high_env_pol,car,DE,636118951.0
2020,sldg,high_env_pol,cec,DE,0.0
2020,sldg,low_env_pol,car,DE,636118951.0
2020,sldg,low_env_pol,cec,DE,0.0
2020,wtr,high_env_pol,car,DE,5193432470.0
2020,wtr,high_env_pol,cec,DE,1053.08
2020,wtr,low_env_pol,car,DE,5193432470.0
2020,wtr,low_env_pol,cec,DE,1053.08
2020,oxi_con,high_env_pol,car,DE,0.0
2020,oxi_con,high_env_pol,cec,DE,0.0
2020,oxi_con,low_env_pol,car,DE,0.0
2020,oxi_con,low_env_pol,cec,DE,0.0
2035,sldg,high_env_pol,car,DE,630772961.0
2035,sldg,high_env_pol,cec,DE,0.0
2035,sldg,low_env_pol,car,DE,630772961.0
2035,sldg,low_env_pol,cec,DE,0.0
2035,wtr,high_env_pol,car,DE,5149786485.0
2035,wtr,high_env_pol,cec,DE,1044.23
2035,wtr,low_env_pol,car,DE,5149786485.0
2035,wtr,low_env_pol,cec,DE,1044.23
2035,oxi_con,high_env_pol,car,DE,0.0
2035,oxi_con,high_env_pol,cec,DE,0.0
2035,oxi_con,low_env_pol,car,DE,0.0
2035,oxi_con,low_env_pol,cec,DE,0.0
2045,sldg,high_env_pol,car,DE,619562667.4
2045,sldg,high_env_pol,cec,DE,0.0
2045,sldg,low_env_pol,car,DE,619562667.4
2045,sldg,low_env_pol,cec,DE,0.0
2045,wtr,high_env_pol,car,DE,5058262875.0
2045,wtr,high_env_pol,cec,DE,1025.67
2045,wtr,low_env_pol,car,DE,5058262875.0
2045,wtr,low_env_pol,cec,DE,1025.67
2045,oxi_con,high_env_pol,car,DE,0.0
2045,oxi_con,high_env_pol,cec,DE,0.0
2045,oxi_con,low_env_pol,car,DE,0.0
2045,oxi_con,low_env_pol,cec,DE,0.0
