time,carrier,scenario,region,substance,value
2020,sldg,high_env_pol,DE,car,682107256.0
2020,sldg,high_env_pol,DE,cec,0.0
2020,sldg,low_env_pol,DE,car,682107256.0
2020,sldg,low_env_pol,DE,cec,0.0
2020,wtr,high_env_pol,DE,car,-9.306856155395508
2020,wtr,high_env_pol,DE,cec,-360.73214710366074
2020,wtr,low_env_pol,DE,car,-9.306856155395508
2020,wtr,low_env_pol,DE,cec,-360.73214710366074
2020,oxi_con,high_env_pol,DE,car,0.0
2020,oxi_con,high_env_pol,DE,cec,0.0
2020,oxi_con,low_env_pol,DE,car,0.0
2020,oxi_con,low_env_pol,DE,cec,0.0
2035,sldg,high_env_pol,DE,car,676374776.94
2035,sldg,high_env_pol,DE,cec,0.0
2035,sldg,low_env_pol,DE,car,676374776.94
2035,sldg,low_env_pol,DE,cec,0.0
2035,wtr,high_env_pol,DE,car,0.0
2035,wtr,high_env_pol,DE,cec,-295.19536919999996
2035,wtr,low_env_pol,DE,car,0.0
2035,wtr,low_env_pol,DE,cec,-357.7006498999997
2035,oxi_con,high_env_pol,DE,car,0.0
2035,oxi_con,high_env_pol,DE,cec,0.0
2035,oxi_con,low_env_pol,DE,car,0.0
2035,oxi_con,low_env_pol,DE,cec,0.0
2045,sldg,high_env_pol,DE,car,664354033.66
2045,sldg,high_env_pol,DE,cec,0.0
2045,sldg,low_env_pol,DE,car,664354033.66
2045,sldg,low_env_pol,DE,cec,0.0
2045,wtr,high_env_pol,DE,car,0.0
2045,wtr,high_env_pol,DE,cec,-267.42623000000003
2045,wtr,low_env_pol,DE,car,0.0
2045,wtr,low_env_pol,DE,cec,-351.34276269999987
2045,oxi_con,high_env_pol,DE,car,0.0
2045,oxi_con,high_env_pol,DE,cec,0.0
2045,oxi_con,low_env_pol,DE,car,0.0
2045,oxi_con,low_env_pol,DE,cec,0.0
